date,from_currency,to_currency,exchange
06/01/2015,USD,CAD,1.17626
06/01/2015,USD,EUR,0.83935
06/01/2015,USD,GBP,0.65822
06/01/2015,USD,USD,1
07/01/2015,AUD,AUD,1
07/01/2015,AUD,CAD,0.95471
07/01/2015,AUD,EUR,0.68213
07/01/2015,AUD,GBP,0.53363
07/01/2015,AUD,USD,0.80703
07/01/2015,CAD,AUD,1.04744
07/01/2015,CAD,CAD,1
07/01/2015,CAD,EUR,0.71449
07/01/2015,CAD,GBP,0.55895
07/01/2015,CAD,USD,0.84531
07/01/2015,EUR,AUD,1.466
07/01/2015,EUR,CAD,1.3996
07/01/2015,EUR,EUR,1
07/01/2015,EUR,GBP,0.7823
07/01/2015,EUR,USD,1.1831
07/01/2015,GBP,AUD,1.87396
07/01/2015,GBP,CAD,1.78908
07/01/2015,GBP,EUR,1.27828
07/01/2015,GBP,GBP,1
07/01/2015,GBP,USD,1.51234
07/01/2015,USD,AUD,1.23912
07/01/2015,USD,CAD,1.18299
07/01/2015,USD,EUR,0.84524
07/01/2015,USD,GBP,0.66123
07/01/2015,USD,USD,1
08/01/2015,AUD,AUD,1
08/01/2015,AUD,CAD,0.95778
08/01/2015,AUD,EUR,0.6888
08/01/2015,AUD,GBP,0.53802
08/01/2015,AUD,USD,0.81058
08/01/2015,CAD,AUD,1.04408
08/01/2015,CAD,CAD,1
08/01/2015,CAD,EUR,0.71917
08/01/2015,CAD,GBP,0.56174
08/01/2015,CAD,USD,0.84631
08/01/2015,EUR,AUD,1.4518
08/01/2015,EUR,CAD,1.3905
08/01/2015,EUR,EUR,1
08/01/2015,EUR,GBP,0.7811
08/01/2015,EUR,USD,1.1768
08/01/2015,GBP,AUD,1.85866
08/01/2015,GBP,CAD,1.78018
08/01/2015,GBP,EUR,1.28025
08/01/2015,GBP,GBP,1
08/01/2015,GBP,USD,1.50659
08/01/2015,USD,AUD,1.23368
08/01/2015,USD,CAD,1.18159
08/01/2015,USD,EUR,0.84976
08/01/2015,USD,GBP,0.66375
08/01/2015,USD,USD,1
